Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,TBD_Flag,Outlier_Flag,User_Score_Norm,Critic_User_Diff,Percentage_of_Releases,Mean_UserCritic_Score
Grand Theft Auto: Vice City,Playstation 2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,False,True,87.0,8.0,9.508716323296355,91.0
Gran Turismo 3: A-Spec,Playstation 2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,False,True,84.0,11.0,37.1900826446281,89.5
Call of Duty: Modern Warfare 3,Xbox 360,2011.0,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,False,True,34.0,54.0,16.76056338028169,61.0
Call of Duty: Black Ops 3,Playstation 4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,36.60933660933661,0.0
Call of Duty: Black Ops,Xbox 360,2010.0,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,False,True,63.0,24.0,11.827956989247312,75.0
Call of Duty: Black Ops II,Playstation 3,2012.0,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,False,True,53.0,30.0,31.746031746031743,68.0
Call of Duty: Black Ops II,Xbox 360,2012.0,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,False,True,48.0,35.0,31.746031746031743,65.5
Call of Duty: Modern Warfare 2,Xbox 360,2009.0,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,False,True,63.0,31.0,12.761020881670534,78.5
Call of Duty: Modern Warfare 3,Playstation 3,2011.0,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,False,True,32.0,56.0,16.76056338028169,60.0
Grand Theft Auto III,Playstation 2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,False,True,85.0,12.0,7.43801652892562,91.0
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,False,True,89.0,4.0,23.47305389221557,91.0
Call of Duty: Black Ops,Playstation 3,2010.0,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,False,True,64.0,24.0,11.827956989247312,76.0
Grand Theft Auto V,Playstation 4,2014.0,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,False,True,83.0,14.0,26.598465473145783,90.0
Halo 3,Xbox 360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,False,True,78.0,16.0,10.557184750733137,86.0
Super Mario 64,Nintendo 64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,96.23655913978494,0.0
Gran Turismo 4,Playstation 2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,False,True,85.0,4.0,30.965391621129324,87.0
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,False,True,89.0,8.0,26.392961876832842,93.0
Grand Theft Auto IV,Xbox 360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,False,True,79.0,19.0,10.778443113772456,88.5
Gran Turismo,Playstation,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,False,True,87.0,9.0,2.4691358024691357,91.5
Gran Turismo 5,Playstation 3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,False,True,75.0,9.0,25.537634408602152,79.5
Call of Duty: Modern Warfare 2,Playstation 3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,False,True,63.0,31.0,12.761020881670534,78.5
Grand Theft Auto IV,Playstation 3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,False,True,75.0,23.0,10.778443113772456,86.5
Call of Duty: Ghosts,Xbox 360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,False,True,26.0,47.0,28.353658536585364,49.5
Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,False,True,78.0,-4.0,14.084507042253522,76.0
Mario Kart 64,Nintendo 64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,96.23655913978494,0.0
Halo: Reach,Xbox 360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,False,True,79.0,12.0,11.827956989247312,85.0
Final Fantasy VII,Playstation,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,False,True,92.0,0.0,3.7037037037037033,92.0
Halo 4,Xbox 360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,False,True,70.0,17.0,31.746031746031743,78.5
Gran Turismo 2,Playstation,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,False,True,90.0,3.0,5.263157894736842,91.5
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,False,True,73.0,1.0,12.096774193548388,73.5
Call of Duty: Ghosts,Playstation 3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,False,True,26.0,45.0,28.353658536585364,48.5
Call of Duty 4: Modern Warfare,Xbox 360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,False,True,84.0,10.0,10.557184750733137,89.0
Minecraft,Xbox 360,2013.0,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,23.47560975609756,0.0
The Elder Scrolls V: Skyrim,Xbox 360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,False,True,84.0,12.0,16.76056338028169,90.0
FIFA 16,Playstation 4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,False,True,43.0,39.0,17.936117936117938,62.5
Halo 2,Xbox,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,False,True,82.0,13.0,18.0327868852459,88.5
Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,False,True,74.0,-6.0,25.537634408602152,71.0
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,False,True,63.0,-1.0,26.392961876832842,62.5
FIFA Soccer 13,Playstation 3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,False,True,66.0,22.0,15.873015873015872,77.0
GoldenEye 007,Nintendo 64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,92.18106995884774,0.0
Final Fantasy X,Playstation 2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,False,True,87.0,5.0,28.37465564738292,89.5
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,False,True,76.0,10.0,24.245939675174014,81.0
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.24633431085044,0.0
Star Wars Battlefront (2015),Playstation 4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,36.60933660933661,0.0
Final Fantasy VIII,Playstation,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,False,True,86.0,4.0,5.263157894736842,88.0
Call of Duty: Advanced Warfare,Playstation 4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,False,True,57.0,26.0,26.598465473145783,70.0
The Legend of Zelda: Ocarina of Time,Nintendo 64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,90.58823529411765,0.0
FIFA 17,Playstation 4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,False,True,50.0,35.0,16.442048517520217,67.5
Crash Bandicoot 2: Cortex Strikes Back,Playstation,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,92.18106995884774,0.0
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,False,True,91.0,6.0,25.537634408602152,94.0
Call of Duty: Black Ops 3,Xbox One,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,36.60933660933661,0.0
Call of Duty: World at War,Xbox 360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,False,True,76.0,8.0,10.778443113772456,80.0
Battlefield 3,Xbox 360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,False,True,74.0,10.0,16.76056338028169,79.0
Need for Speed Underground,Playstation 2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,False,True,86.0,-1.0,32.800000000000004,85.5
Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,False,True,80.0,-31.0,15.4292343387471,64.5
Battlefield 3,Playstation 3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,False,True,75.0,10.0,16.76056338028169,80.0
Fallout 4,Playstation 4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,False,True,65.0,22.0,15.970515970515969,76.0
Tekken 3,Playstation,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,False,True,91.0,5.0,4.411764705882353,93.5
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T,False,True,90.0,5.0,26.16984402079723,92.5
Crash Bandicoot 3: Warped,Playstation,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,False,True,89.0,2.0,3.823529411764706,90.0
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,False,True,91.0,-3.0,13.299232736572892,89.5
Super Smash Bros. Melee,Game Cube,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,False,True,91.0,1.0,28.37465564738292,91.5
Mario Kart: Double Dash!!,Game Cube,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,19.36,0.0
Need for Speed Underground 2,Playstation 2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,False,True,86.0,-4.0,30.965391621129324,84.0
Medal of Honor: Frontline,Playstation 2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,False,True,85.0,3.0,33.12202852614897,86.5
Crash Bandicoot,Playstation,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,96.23655913978494,0.0
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,False,True,73.0,1.0,8.73015873015873,73.5
Gears of War 2,Xbox 360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,False,True,77.0,16.0,10.778443113772456,85.0
Uncharted 3: Drake's Deception,Playstation 3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,False,True,83.0,9.0,23.943661971830984,87.5
Zumba Fitness,Wii,2010.0,Sports,505 Games,3.45,2.59,0.0,0.66,6.71,-1.0,-1.0,0.0,-1.0,"Pipeworks Software, Inc.",E,True,True,0.0,0.0,25.537634408602152,0.0
Call of Duty 4: Modern Warfare,Playstation 3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,False,True,84.0,10.0,10.557184750733137,89.0
Uncharted 2: Among Thieves,Playstation 3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,False,True,88.0,8.0,24.245939675174014,92.0
FIFA 12,Playstation 3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,26.76056338028169,0.0
Red Dead Redemption,Playstation 3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,False,True,88.0,7.0,11.827956989247312,91.5
FIFA 14,Playstation 3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,False,True,43.0,43.0,18.29268292682927,64.5
Assassin's Creed III,Playstation 3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,False,True,69.0,16.0,31.746031746031743,77.0
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,False,True,86.0,1.0,25.537634408602152,86.5
Halo: Combat Evolved,Xbox,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,False,True,86.0,11.0,7.43801652892562,91.5
The Elder Scrolls V: Skyrim,Playstation 3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,False,True,64.0,28.0,16.76056338028169,78.0
Kingdom Hearts,Playstation 2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,E,False,True,88.0,-3.0,39.144215530903324,86.5
Halo 3: ODST,Xbox 360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,False,True,71.0,12.0,12.761020881670534,77.0
Red Dead Redemption,Xbox 360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,M,False,True,90.0,5.0,11.827956989247312,92.5
Super Mario Sunshine,Game Cube,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,False,True,86.0,6.0,39.144215530903324,89.0
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,False,True,73.0,20.0,36.247723132969035,83.0
Driver,Playstation,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T,False,True,81.0,6.0,5.263157894736842,84.0
Gears of War 3,Xbox 360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,False,True,78.0,13.0,16.76056338028169,84.5
Kinect Sports,Xbox 360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,False,True,74.0,-1.0,12.096774193548388,73.5
Gears of War,Xbox 360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,M,False,True,83.0,11.0,11.438474870017332,88.5
FIFA 15,Playstation 4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E,False,True,57.0,25.0,13.299232736572892,69.5
Metal Gear Solid 2: Sons of Liberty,Playstation 2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,M,False,True,87.0,9.0,7.43801652892562,91.5
Metal Gear Solid,Playstation,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,M,False,True,94.0,0.0,1.1764705882352942,94.0
Metal Gear Solid 4: Guns of the Patriots,Playstation 3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M,False,True,87.0,7.0,10.778443113772456,90.5
Final Fantasy XII,Playstation 2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,T,False,True,76.0,16.0,26.16984402079723,84.0
The Last of Us,Playstation 3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M,False,True,91.0,4.0,28.353658536585364,93.0
LittleBigPlanet,Playstation 3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,False,True,68.0,27.0,25.748502994011975,81.5
Resident Evil 2,Playstation,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,M,False,True,92.0,-3.0,1.1764705882352942,90.5
Tekken 2,Playstation,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,T,False,True,89.0,0.0,1.0752688172043012,89.0
Destiny,Playstation 4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,False,True,61.0,15.0,14.066496163682865,68.5
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,False,True,89.0,-9.0,13.48973607038123,84.5
Super Smash Bros.,Nintendo 64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,86.9969040247678,0.0
Assassin's Creed II,Playstation 3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,False,True,86.0,5.0,12.761020881670534,88.5
Assassin's Creed,Xbox 360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,False,True,77.0,4.0,10.557184750733137,79.0
Forza Motorsport 3,Xbox 360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10,E,False,True,80.0,12.0,25.290023201856147,86.0
Batman: Arkham City,Playstation 3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,False,True,86.0,10.0,23.943661971830984,91.0
Grand Theft Auto V,Xbox One,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,M,False,True,79.0,18.0,26.598465473145783,88.0
Pokemon Stadium,Nintendo 64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,86.9969040247678,0.0
Crash Bandicoot: The Wrath of Cortex,Playstation 2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,E,False,True,71.0,-5.0,37.1900826446281,68.5
Call of Duty: World at War,Playstation 3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,M,False,True,76.0,9.0,10.778443113772456,80.5
Uncharted 4: A Thief's End,Playstation 4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T,False,True,79.0,14.0,19.40700808625337,86.0
Final Fantasy XIII,Playstation 3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,T,False,True,73.0,10.0,24.245939675174014,78.0
Final Fantasy IX,Playstation,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,T,False,True,89.0,5.0,15.757575757575756,91.5
Assassin's Creed III,Xbox 360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,False,True,67.0,17.0,31.746031746031743,75.5
Final Fantasy X-2,Playstation 2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,T,False,True,66.0,19.0,34.88,75.5
Donkey Kong 64,Nintendo 64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,86.9969040247678,0.0
Call of Duty: Advanced Warfare,Xbox One,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,M,False,True,54.0,27.0,26.598465473145783,67.5
Minecraft,Playstation 3,2014.0,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,-1.0,-1.0,-1.0,-1.0,Unknown,Unknown,False,True,0.0,0.0,29.15601023017903,0.0
Assassin's Creed II,Xbox 360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,False,True,88.0,2.0,12.761020881670534,89.0
Tomb Raider II,Playstation,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,-1.0,-1.0,Core Design Ltd.,T,False,True,0.0,85.0,3.7037037037037033,42.5
